orderid,menuid,type,size
602,16,appetizer,
603,17,appetizer,
604,11,a la carte,large
605,5,entree,
605,10,entree,
605,0,entree,
605,15,side,
606,0,a la carte,large
607,5,a la carte,medium
608,11,entree,
608,13,side,
609,27,drink,large
610,0,entree,
610,100,entree,
610,1,entree,
610,15,side,
611,16,appetizer,
612,9,entree,
612,1,entree,
612,13,side,
613,3,entree,
613,3,entree,
613,0,entree,
613,12,side,
613,15,side,
614,4,a la carte,small
615,1,entree,
615,6,entree,
615,100,entree,
615,14,side,
616,37,bottle,
617,11,entree,
617,14,side,
618,17,appetizer,
619,5,entree,
619,4,entree,
619,9,entree,
619,13,side,
619,15,side,
620,4,entree,
620,9,entree,
620,8,entree,
620,14,side,
620,14,side,
621,7,entree,
621,5,entree,
621,7,entree,
621,13,side,
621,14,side,
622,13,a la carte,medium
623,3,entree,
623,10,entree,
623,14,side,
624,3,entree,
624,11,entree,
624,15,side,
625,36,bottle,
626,2,entree,
626,13,side,
627,4,entree,
627,1,entree,
627,15,side,
628,23,drink,medium
629,1,entree,
629,100,entree,
629,13,side,
630,35,bottle,
631,1,entree,
631,15,side,
632,6,a la carte,medium
633,0,entree,
633,100,entree,
633,100,entree,
633,12,side,
633,14,side,
634,10,entree,
634,13,side,
635,9,entree,
635,3,entree,
635,8,entree,
635,15,side,
636,20,drink,small
637,17,appetizer,
638,5,entree,
638,14,side,
639,0,entree,
639,10,entree,
639,7,entree,
639,15,side,
640,16,appetizer,
641,8,entree,
641,1,entree,
641,100,entree,
641,12,side,
642,4,entree,
642,12,side,
643,35,bottle,
644,33,drink,small
645,7,a la carte,large
646,9,entree,
646,15,side,
647,6,entree,
647,4,entree,
647,2,entree,
647,13,side,
647,15,side,
648,37,bottle,
649,7,a la carte,small
650,0,entree,
650,7,entree,
650,3,entree,
650,13,side,
650,13,side,
651,29,drink,small
652,23,drink,large
653,16,appetizer,
654,18,appetizer,
655,10,entree,
655,2,entree,
655,10,entree,
655,14,side,
655,14,side,
656,18,appetizer,
657,100,entree,
657,12,side,
658,2,a la carte,medium
659,23,drink,small
660,23,drink,medium
661,37,bottle,
662,35,bottle,
663,0,entree,
663,0,entree,
663,8,entree,
663,15,side,
664,6,entree,
664,2,entree,
664,7,entree,
664,12,side,
664,14,side,
665,11,a la carte,large
666,2,entree,
666,2,entree,
666,2,entree,
666,13,side,
666,13,side,
667,100,a la carte,large
668,5,entree,
668,13,side,
669,2,a la carte,large
670,18,appetizer,
671,37,bottle,
672,6,entree,
672,1,entree,
672,13,side,
673,7,entree,
673,12,side,
674,4,a la carte,large
675,8,entree,
675,7,entree,
675,13,side,
676,9,entree,
676,2,entree,
676,4,entree,
676,15,side,
677,17,appetizer,
678,3,entree,
678,15,side,
679,10,a la carte,medium
680,9,entree,
680,10,entree,
680,1,entree,
680,15,side,
680,14,side,
681,35,bottle,
682,11,a la carte,small
683,35,bottle,
684,6,entree,
684,3,entree,
684,0,entree,
684,13,side,
684,15,side,
685,35,bottle,
686,8,a la carte,medium
687,1,a la carte,large
688,13,a la carte,large
689,17,appetizer,
690,3,entree,
690,15,side,
691,8,entree,
691,3,entree,
691,14,side,
692,0,entree,
692,6,entree,
692,1,entree,
692,15,side,
692,12,side,
693,3,a la carte,small
694,1,entree,
694,11,entree,
694,14,side,
695,36,bottle,
696,4,entree,
696,8,entree,
696,5,entree,
696,12,side,
697,37,bottle,
698,5,entree,
698,6,entree,
698,3,entree,
698,14,side,
699,100,a la carte,medium
700,17,appetizer,
701,7,a la carte,small
702,4,entree,
702,7,entree,
702,0,entree,
702,14,side,
702,13,side,
703,36,bottle,
704,16,appetizer,
705,35,bottle,
706,16,appetizer,
707,36,bottle,
708,16,appetizer,
709,11,entree,
709,2,entree,
709,12,side,
710,7,entree,
710,4,entree,
710,7,entree,
710,13,side,
711,8,entree,
711,9,entree,
711,12,side,
712,4,entree,
712,1,entree,
712,1,entree,
712,14,side,
713,16,appetizer,
714,30,drink,large
715,5,entree,
715,10,entree,
715,5,entree,
715,13,side,
715,14,side,
716,37,bottle,
717,8,entree,
717,13,side,
718,35,bottle,
719,17,appetizer,
720,100,entree,
720,3,entree,
720,9,entree,
720,14,side,
720,13,side,
721,1,entree,
721,15,side,
722,100,entree,
722,12,side,
723,32,drink,large
724,18,appetizer,
725,36,bottle,
726,18,appetizer,
727,8,entree,
727,4,entree,
727,7,entree,
727,12,side,
727,15,side,
728,1,entree,
728,8,entree,
728,15,side,
729,1,entree,
729,11,entree,
729,1,entree,
729,14,side,
729,14,side,
730,17,appetizer,
731,100,a la carte,large
732,4,entree,
732,5,entree,
732,12,side,
733,17,appetizer,
734,16,appetizer,
735,37,bottle,
736,32,drink,small
737,7,entree,
737,10,entree,
737,11,entree,
737,12,side,
738,22,drink,medium
739,10,entree,
739,13,side,
740,16,appetizer,
741,11,entree,
741,7,entree,
741,6,entree,
741,13,side,
741,15,side,
742,7,entree,
742,10,entree,
742,15,side,
743,17,appetizer,
744,18,appetizer,
745,15,a la carte,medium
746,0,entree,
746,3,entree,
746,13,side,
747,1,entree,
747,12,side,
748,8,a la carte,small
749,37,bottle,
750,35,bottle,
751,11,entree,
751,14,side,
752,5,entree,
752,4,entree,
752,12,side,
753,10,entree,
753,2,entree,
753,6,entree,
753,14,side,
754,18,appetizer,
755,37,bottle,
756,5,entree,
756,15,side,
757,9,entree,
757,11,entree,
757,14,side,
758,18,appetizer,
759,17,appetizer,
760,7,entree,
760,8,entree,
760,11,entree,
760,15,side,
761,16,appetizer,
762,8,entree,
762,2,entree,
762,2,entree,
762,14,side,
763,3,entree,
763,0,entree,
763,100,entree,
763,15,side,
764,7,entree,
764,14,side,
765,4,entree,
765,8,entree,
765,15,side,
766,11,entree,
766,1,entree,
766,6,entree,
766,13,side,
767,4,entree,
767,11,entree,
767,10,entree,
767,13,side,
768,5,entree,
768,12,side,
769,13,a la carte,medium
770,0,a la carte,small
771,9,entree,
771,4,entree,
771,15,side,
772,36,bottle,
773,18,appetizer,
774,33,drink,large
775,3,entree,
775,13,side,
776,36,bottle,
777,6,entree,
